"","PlayerName","pos","points","value"
"38","Aaron Rodgers","qb",395.586,92.9496308211016
"37","Cam Newton","qb",384.832,83.9268341767287
"39","Russell Wilson","qb",374.956,75.6406950973323
"40","Andrew Luck","qb",366.98,68.9486897006875
"141","Adrian Peterson","rb",201.42,63.1670185386664
"459","Antonio Brown","wr",146.74,61.2498630307259
"142","Todd Gurley","rb",198.005,60.3017729983527
"41","Drew Brees","qb",356.022,59.7547334398506
"461","Odell Beckham Jr.","wr",138.855,54.6342082473075
"143","Jamaal Charles","rb",190.29,53.8287512286542
"460","Julio Jones","wr",132.535,49.3316162078397
"144","David Johnson","rb",183.78,48.3667458209112
"145","Lamar Miller","rb",181.915,46.8019777586315
"329","Rob Gronkowski","te",114.95,46.5628577062188
"42","Ben Roethlisberger","qb",340.088,46.3858249656606
"462","DeAndre Hopkins","wr",128.56,45.9965207399781
"43","Carson Palmer","qb",334.408,41.6202042719616
"147","Ezekiel Elliott","rb",172.825,39.1753066132576
"463","Dez Bryant","wr",120.155,38.9445767381225
"146","Le'Veon Bell","rb",170.18,36.9561047233221
"44","Blake Bortles","qb",327.998,36.2421006369949
"464","A.J. Green","wr",116.775,36.1086968182805
"465","Jordy Nelson","wr",114.615,34.2964185263105
"47","Eli Manning","qb",324.79,33.5505317663283
"150","Eddie Lacy","rb",164.77,32.4170188161194
"46","Philip Rivers","qb",323.424,32.4044335502029
"149","LeSean McCoy","rb",164.065,31.8255113180458
"148","Devonta Freeman","rb",162.295,30.3404499399037
"152","Doug Martin","rb",161.83,29.9503066964935
"467","Allen Robinson","wr",109.28,29.8202589486901
"466","Alshon Jeffery","wr",108.915,29.5140174780563
"151","Mark Ingram","rb",160.26,28.6330488639041
"153","Thomas Rawls","rb",158.4,27.0724758902633
"470","Brandon Marshall","wr",105.195,26.3928715307745
"471","Sammy Watkins","wr",104.38,25.7090720826469
"468","Mike Evans","wr",103.93,25.3315141051532
"469","T.Y. Hilton","wr",103.875,25.2853681301262
"473","Brandin Cooks","wr",103.055,24.5973735933598
"475","Randall Cobb","wr",100.625,22.5585605148935
